country,hours worked in a year,real wage (avg wage/cpi*100),GDP per hour worked,,,average wage,cpi
australia,1712,50880.10,56.07,,,54401,106.92
austria,1501,50532.48,68.86,,,53903,106.67
belgium,1583,51562.93,71.7,,,55590,107.81
canada,1670,49514.15,52.43,,,53198,107.44
chile,1914.4,24159.41,25.66,,,26916,111.41
czech republic,1788,27026.95,42.03,,,29281,108.34
denmark,1380,55485.44,74.36,,,57150,103
estonia,1711,27650.82,40.99,,,30297,109.57
finland,1540,44259.56,61.74,,,45698,103.25
france,1505,44594.65,67.85,,,46481,104.23
germany,1386.1,50947.95,66.38,,,53638,105.28
greece,1949,27141.45,36.53,,,27459,101.17
hungary,1725.2,24011.54,37.7,,,26223,109.21
iceland,1454,62122.96,64.22,,,68006,109.47
ireland,1772,49602.12,103.11,,,50490,101.79
israel,1898.1,38874.31,41.22,,,39403,101.36
italy,1717.8,38091.95,53.28,,,39189,102.88
japan,1644,18284.23,46.78,,,18617,101.82
korea,1967,40329.04,39.55,,,42285,104.85
latvia,1661,26186.27,37,,,28454,108.66
lithuania,1635,26048.65,42.52,,,28914,111
luxembourg,1506,65168.42,94.78,,,68681,105.39
mexico,2137,14843.50,20.32,,,17594,118.53
netherlands,1434,53270.54,67.65,,,56552,106.16
new zealand,1779,41605.40,42.12,,,44031,105.83
norway,1384,48778.44,84.52,,,54027,110.76
oecd total,1726,44821.96,53.97,,,48587,108.4
poland,1806,30291.83,40.96,,,31970,105.54
portugal,1719,25770.68,39.97,,,26634,103.35
slovak republic,1695,23995.47,43.76,,,25452,106.07
slovenia,1592.9,38370.54,45.22,,,40220,104.82
spain,1686,38162.80,52.6,,,39758,104.18
sweden,1452,43775.19,69.86,,,46695,106.67
switzerland,1556.9,65647.93,71.41,,,66567,101.4
united kingdom,1538,29424.30,58.61,,,47226,160.5
united states,1779,61038.38,71.78,,,65836,107.86
china,2315,12416.56,15,,,13514.18,108.84
